Level1	Level2	Level3
Human Diseases	Infectious Diseases	Vibrio cholerae pathogenic cycle
Human Diseases	Metabolic Diseases	Type I diabetes mellitus
Human Diseases	Metabolic Diseases	Type II diabetes mellitus
Human Diseases	Neurodegenerative Diseases	Alzheimer's disease
Human Diseases	Neurodegenerative Diseases	Amyotrophic lateral sclerosis (ALS)
Human Diseases	Neurodegenerative Diseases	Huntington's disease
Human Diseases	Neurodegenerative Diseases	Parkinson's disease
Human Diseases	Neurodegenerative Diseases	Prion diseases
Metabolism	Amino Acid Metabolism	Alanine, aspartate and glutamate metabolism
Metabolism	Amino Acid Metabolism	Amino acid related enzymes
Metabolism	Amino Acid Metabolism	Arginine and proline metabolism
Metabolism	Amino Acid Metabolism	Cysteine and methionine metabolism
Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
Metabolism	Amino Acid Metabolism	Histidine metabolism
Metabolism	Amino Acid Metabolism	Lysine biosynthesis
Metabolism	Amino Acid Metabolism	Lysine degradation
Metabolism	Amino Acid Metabolism	Phenylalanine metabolism
Metabolism	Amino Acid Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
Metabolism	Amino Acid Metabolism	Tryptophan metabolism
Metabolism	Amino Acid Metabolism	Tyrosine metabolism
Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine biosynthesis
Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
Metabolism	Biosynthesis of Other Secondary Metabolites	beta-Lactam resistance
Metabolism	Biosynthesis of Other Secondary Metabolites	Betalain biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Butirosin and neomycin biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Caffeine metabolism
Metabolism	Biosynthesis of Other Secondary Metabolites	Clavulanic acid biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Flavone and flavonol biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Flavonoid biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Indole alkaloid biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Isoflavonoid biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Isoquinoline alkaloid biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Novobiocin biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Penicillin and cephalosporin biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Phenylpropanoid biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Stilbenoid, diarylheptanoid and gingerol biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Streptomycin biosynthesis
Metabolism	Biosynthesis of Other Secondary Metabolites	Tropane, piperidine and pyridine alkaloid biosynthesis
Metabolism	Carbohydrate Metabolism	Amino sugar and nucleotide sugar metabolism
Metabolism	Carbohydrate Metabolism	Ascorbate and aldarate metabolism
Metabolism	Carbohydrate Metabolism	Butanoate metabolism
Metabolism	Carbohydrate Metabolism	C5-Branched dibasic acid metabolism
Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
Metabolism	Carbohydrate Metabolism	Fructose and mannose metabolism
Metabolism	Carbohydrate Metabolism	Galactose metabolism
Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
Metabolism	Carbohydrate Metabolism	Inositol phosphate metabolism
Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
Metabolism	Carbohydrate Metabolism	Pentose phosphate pathway
Metabolism	Carbohydrate Metabolism	Propanoate metabolism
Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
Metabolism	Carbohydrate Metabolism	Starch and sucrose metabolism
Metabolism	Energy Metabolism	Carbon fixation in photosynthetic organisms
Metabolism	Energy Metabolism	Carbon fixation pathways in prokaryotes
Metabolism	Energy Metabolism	Methane metabolism
Metabolism	Energy Metabolism	Nitrogen metabolism
Metabolism	Energy Metabolism	Oxidative phosphorylation
Metabolism	Energy Metabolism	Photosynthesis
Metabolism	Energy Metabolism	Photosynthesis - antenna proteins
Metabolism	Energy Metabolism	Photosynthesis proteins
Metabolism	Energy Metabolism	Sulfur metabolism
Metabolism	Enzyme Families	Cytochrome P450
Metabolism	Enzyme Families	Peptidases
Metabolism	Enzyme Families	Protein kinases
Metabolism	Glycan Biosynthesis and Metabolism	Glycosaminoglycan biosynthesis - chondroitin sulfate
Metabolism	Glycan Biosynthesis and Metabolism	Glycosaminoglycan degradation
Metabolism	Glycan Biosynthesis and Metabolism	Glycosphingolipid biosynthesis - ganglio series
Metabolism	Glycan Biosynthesis and Metabolism	Glycosphingolipid biosynthesis - globo series
Metabolism	Glycan Biosynthesis and Metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series
Metabolism	Glycan Biosynthesis and Metabolism	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
Metabolism	Glycan Biosynthesis and Metabolism	Glycosyltransferases
Metabolism	Glycan Biosynthesis and Metabolism	Lipopolysaccharide biosynthesis
Metabolism	Glycan Biosynthesis and Metabolism	Lipopolysaccharide biosynthesis proteins
Metabolism	Glycan Biosynthesis and Metabolism	N-Glycan biosynthesis
Metabolism	Glycan Biosynthesis and Metabolism	Other glycan degradation
Metabolism	Glycan Biosynthesis and Metabolism	Other types of O-glycan biosynthesis
Metabolism	Glycan Biosynthesis and Metabolism	Peptidoglycan biosynthesis
Metabolism	Glycan Biosynthesis and Metabolism	Various types of N-glycan biosynthesis
Metabolism	Lipid Metabolism	alpha-Linolenic acid metabolism
Metabolism	Lipid Metabolism	Arachidonic acid metabolism
Metabolism	Lipid Metabolism	Biosynthesis of unsaturated fatty acids
Metabolism	Lipid Metabolism	Ether lipid metabolism
Metabolism	Lipid Metabolism	Fatty acid biosynthesis
Metabolism	Lipid Metabolism	Fatty acid elongation in mitochondria
Metabolism	Lipid Metabolism	Fatty acid metabolism
Metabolism	Lipid Metabolism	Glycerolipid metabolism
Metabolism	Lipid Metabolism	Glycerophospholipid metabolism
Metabolism	Lipid Metabolism	Linoleic acid metabolism
Metabolism	Lipid Metabolism	Lipid biosynthesis proteins
Metabolism	Lipid Metabolism	Primary bile acid biosynthesis
Metabolism	Lipid Metabolism	Secondary bile acid biosynthesis
Metabolism	Lipid Metabolism	Sphingolipid metabolism
Metabolism	Lipid Metabolism	Steroid biosynthesis
Metabolism	Lipid Metabolism	Steroid hormone biosynthesis
Metabolism	Lipid Metabolism	Synthesis and degradation of ketone bodies
Metabolism	Metabolism of Cofactors and Vitamins	Biotin metabolism
Metabolism	Metabolism of Cofactors and Vitamins	Folate biosynthesis
Metabolism	Metabolism of Cofactors and Vitamins	Lipoic acid metabolism
Metabolism	Metabolism of Cofactors and Vitamins	Nicotinate and nicotinamide metabolism
Metabolism	Metabolism of Cofactors and Vitamins	One carbon pool by folate
Metabolism	Metabolism of Cofactors and Vitamins	Pantothenate and CoA biosynthesis
Metabolism	Metabolism of Cofactors and Vitamins	Porphyrin and chlorophyll metabolism
Metabolism	Metabolism of Cofactors and Vitamins	Retinol metabolism
Metabolism	Metabolism of Cofactors and Vitamins	Riboflavin metabolism
Metabolism	Metabolism of Cofactors and Vitamins	Thiamine metabolism
Metabolism	Metabolism of Cofactors and Vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
Metabolism	Metabolism of Cofactors and Vitamins	Vitamin B6 metabolism
Metabolism	Metabolism of Other Amino Acids	beta-Alanine metabolism
Metabolism	Metabolism of Other Amino Acids	Cyanoamino acid metabolism
Metabolism	Metabolism of Other Amino Acids	D-Alanine metabolism
Metabolism	Metabolism of Other Amino Acids	D-Arginine and D-ornithine metabolism
Metabolism	Metabolism of Other Amino Acids	D-Glutamine and D-glutamate metabolism
Metabolism	Metabolism of Other Amino Acids	Glutathione metabolism
Metabolism	Metabolism of Other Amino Acids	Phosphonate and phosphinate metabolism
Metabolism	Metabolism of Other Amino Acids	Selenocompound metabolism
Metabolism	Metabolism of Other Amino Acids	Taurine and hypotaurine metabolism
Metabolism	Metabolism of Terpenoids and Polyketides	Biosynthesis of 12-, 14- and 16-membered macrolides
Metabolism	Metabolism of Terpenoids and Polyketides	Biosynthesis of ansamycins
Metabolism	Metabolism of Terpenoids and Polyketides	Biosynthesis of siderophore group nonribosomal peptides
Metabolism	Metabolism of Terpenoids and Polyketides	Biosynthesis of type II polyketide backbone
Metabolism	Metabolism of Terpenoids and Polyketides	Biosynthesis of type II polyketide products
Metabolism	Metabolism of Terpenoids and Polyketides	Biosynthesis of vancomycin group antibiotics
Metabolism	Metabolism of Terpenoids and Polyketides	Carotenoid biosynthesis
Metabolism	Metabolism of Terpenoids and Polyketides	Geraniol degradation
Metabolism	Metabolism of Terpenoids and Polyketides	Limonene and pinene degradation
Metabolism	Metabolism of Terpenoids and Polyketides	Polyketide sugar unit biosynthesis
Metabolism	Metabolism of Terpenoids and Polyketides	Prenyltransferases
Metabolism	Metabolism of Terpenoids and Polyketides	Sesquiterpenoid biosynthesis
Metabolism	Metabolism of Terpenoids and Polyketides	Terpenoid backbone biosynthesis
Metabolism	Metabolism of Terpenoids and Polyketides	Tetracycline biosynthesis
Metabolism	Metabolism of Terpenoids and Polyketides	Zeatin biosynthesis
Metabolism	Nucleotide Metabolism	Purine metabolism
Metabolism	Nucleotide Metabolism	Pyrimidine metabolism
Metabolism	Xenobiotics Biodegradation and Metabolism	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Aminobenzoate degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Atrazine degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Benzoate degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Bisphenol degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Caprolactam degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Chloroalkane and chloroalkene degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Chlorocyclohexane and chlorobenzene degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Dioxin degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - cytochrome P450
Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - other enzymes
Metabolism	Xenobiotics Biodegradation and Metabolism	Ethylbenzene degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Fluorobenzoate degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
Metabolism	Xenobiotics Biodegradation and Metabolism	Naphthalene degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Nitrotoluene degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Polycyclic aromatic hydrocarbon degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Styrene degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Toluene degradation
Metabolism	Xenobiotics Biodegradation and Metabolism	Xylene degradation
None		
Organismal Systems	Circulatory System	Cardiac muscle contraction
Organismal Systems	Circulatory System	Vascular smooth muscle contraction
Organismal Systems	Digestive System	Bile secretion
Organismal Systems	Digestive System	Carbohydrate digestion and absorption
Organismal Systems	Digestive System	Fat digestion and absorption
Organismal Systems	Digestive System	Gastric acid secretion
Organismal Systems	Digestive System	Mineral absorption
Organismal Systems	Digestive System	Pancreatic secretion
Organismal Systems	Digestive System	Protein digestion and absorption
Organismal Systems	Digestive System	Salivary secretion
Organismal Systems	Endocrine System	Adipocytokine signaling pathway
Organismal Systems	Endocrine System	GnRH signaling pathway
Organismal Systems	Endocrine System	Insulin signaling pathway
Organismal Systems	Endocrine System	Melanogenesis
Organismal Systems	Endocrine System	PPAR signaling pathway
Organismal Systems	Endocrine System	Progesterone-mediated oocyte maturation
Organismal Systems	Endocrine System	Renin-angiotensin system
Organismal Systems	Environmental Adaptation	Circadian rhythm - plant
Organismal Systems	Environmental Adaptation	Plant-pathogen interaction
Organismal Systems	Excretory System	Aldosterone-regulated sodium reabsorption
Organismal Systems	Excretory System	Endocrine and other factor-regulated calcium reabsorption
Organismal Systems	Excretory System	Proximal tubule bicarbonate reclamation
Organismal Systems	Excretory System	Vasopressin-regulated water reabsorption
Organismal Systems	Immune System	Antigen processing and presentation
Organismal Systems	Immune System	Complement and coagulation cascades
Organismal Systems	Immune System	Cytosolic DNA-sensing pathway
Organismal Systems	Immune System	Fc epsilon RI signaling pathway
Organismal Systems	Immune System	Fc gamma R-mediated phagocytosis
Organismal Systems	Immune System	Hematopoietic cell lineage
Organismal Systems	Immune System	Leukocyte transendothelial migration
Organismal Systems	Immune System	NOD-like receptor signaling pathway
Organismal Systems	Immune System	RIG-I-like receptor signaling pathway
Organismal Systems	Nervous System	Cholinergic synapse
Organismal Systems	Nervous System	Glutamatergic synapse
Organismal Systems	Nervous System	Long-term depression
Organismal Systems	Nervous System	Long-term potentiation
Organismal Systems	Nervous System	Neurotrophin signaling pathway
Organismal Systems	Sensory System	Olfactory transduction
Organismal Systems	Sensory System	Phototransduction
Organismal Systems	Sensory System	Phototransduction - fly
Unclassified	Cellular Processes and Signaling	Cell division
Unclassified	Cellular Processes and Signaling	Cell motility and secretion
Unclassified	Cellular Processes and Signaling	Electron transfer carriers
Unclassified	Cellular Processes and Signaling	Germination
Unclassified	Cellular Processes and Signaling	Inorganic ion transport and metabolism
Unclassified	Cellular Processes and Signaling	Membrane and intracellular structural molecules
Unclassified	Cellular Processes and Signaling	Other ion-coupled transporters
Unclassified	Cellular Processes and Signaling	Other transporters
Unclassified	Cellular Processes and Signaling	Pores ion channels
Unclassified	Cellular Processes and Signaling	Signal transduction mechanisms
Unclassified	Cellular Processes and Signaling	Sporulation
Unclassified	Genetic Information Processing	Others
Unclassified	Genetic Information Processing	Protein folding and associated processing
Unclassified	Genetic Information Processing	Replication, recombination and repair proteins
Unclassified	Genetic Information Processing	Restriction enzyme
Unclassified	Genetic Information Processing	Transcription related proteins
Unclassified	Genetic Information Processing	Translation proteins
Unclassified	Metabolism	Amino acid metabolism
Unclassified	Metabolism	Biosynthesis and biodegradation of secondary metabolites
Unclassified	Metabolism	Carbohydrate metabolism
Unclassified	Metabolism	Energy metabolism
Unclassified	Metabolism	Glycan biosynthesis and metabolism
Unclassified	Metabolism	Lipid metabolism
Unclassified	Metabolism	Metabolism of cofactors and vitamins
Unclassified	Metabolism	Nucleotide metabolism
Unclassified	Metabolism	Others
Unclassified	Poorly Characterized	Function unknown
Unclassified	Poorly Characterized	General function prediction only
